City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Itaituba,BR,83.88,clear sky,-4.28,-55.98,Hotel Campos
269,Curillo,CO,77.54,light rain,1.03,-75.92,CASA CLUB
271,Atar,MR,81.23,overcast clouds,20.52,-13.05,Oumou Elghoura
272,Bullhead City,US,84.2,clear sky,35.15,-114.57,Golden Nugget Laughlin Hotel & Casino
280,Callaguip,PH,77.0,shower rain,18.07,120.49,Pangil Beach Resort
284,Lala,PH,85.14,overcast clouds,7.97,123.75,Dennis
285,Kilindoni,TZ,79.25,few clouds,-7.91,39.67,Bustani B&B
286,Saint-Georges,GD,80.6,broken clouds,12.06,-61.75,Siesta Hotel
288,Lagos,NG,76.55,overcast clouds,6.58,3.75,
291,Airai,TL,75.43,clear sky,-8.93,125.41,Juvinal Martin
294,Tomatlan,MX,77.36,clear sky,19.93,-105.25,Norma franco
301,Byron Bay,AU,84.0,clear sky,-28.65,153.62,Backpackers Inn on the Beach
311,Rio De Janeiro,BR,78.8,overcast clouds,-22.9,-43.21,Windsor Guanabara Hotel
315,Pangai,TO,78.8,few clouds,-19.8,-174.35,Ha'apai Beach Resort
323,Praia,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
326,Sao Filipe,CV,80.28,clear sky,14.9,-24.5,Tortuga B&B
329,Sao Joao De Pirabas,BR,80.44,scattered clouds,-0.77,-47.18,POUSADA SOL E MAR
332,Ontario,US,84.2,few clouds,34.06,-117.65,DoubleTree by Hilton Hotel Ontario Airport
353,Santa Isabel Do Rio Negro,BR,79.21,overcast clouds,-0.41,-65.02,Hotel GSA
357,Pochutla,MX,75.2,overcast clouds,15.74,-96.47,Hotel Posada San Jose
362,Sao Joao Da Barra,BR,76.03,moderate rain,-21.64,-41.05,Pousada Porto De Canoas
364,Mayumba,GA,76.71,broken clouds,-3.43,10.66,LIKWALE LODGE
365,Bengkulu,ID,75.65,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
369,Lakeside,US,78.01,overcast clouds,30.13,-81.77,Whitey's Fish Camp
374,San Cristobal,VE,80.6,light rain,7.77,-72.22,Pirineos
375,Mitsamiouli,KM,78.31,clear sky,-11.38,43.28,Foyer ADM
379,Sao Jose Da Coroa Grande,BR,76.5,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
